VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
600.0,4.03,0.73,1.77,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
690.0,5.79,0.7,2.8,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
580.0,3.33,0.73,1.41,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
660.0,5.63,0.7,2.6,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
380.0,4.5,0.63,1.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
490.0,7.5,0.7,2.6,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
480.0,12.8,0.6,3.7,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
470.0,15.1,0.5,3.5,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
470.0,15.1,0.5,3.5,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 um thick),0.25,-,-,-,0,0
550.0,15.2,0.62,5.2,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
550.0,15.2,0.62,5.2,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 um thick),0.25,-,-,-,0,0
530.0,13.2,0.67,4.7,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
500.0,9.4,0.65,3.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
500.0,12.9,0.64,4.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
500.0,12.9,0.64,4.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 um thick),0.25,-,-,-,0,0
510.0,11.1,0.6,3.4,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",TiO2 film (13 uM thick),0.25,-,-,-,0,0
